"prof_class","kink","timing","kink_location","t_low","t_high","B","h0","x_left","x_right","delta_z","elasticity","kink_label"
"Class 1",1,"Old kink",1408,0.66,0.33,-0.907186765521528,0.020460184976314,1124.42218862933,1806.94332168928,-44.339128242083,0.0324451265545546,"Kink 1 (66%→33%)"
"Class 1",1,"New kink",1896,0.66,0.33,-1.11528431611315,0.026073453468636,1806.94332168928,2385.02232709691,-42.7747063677135,0.0232441506281527,"Kink 1 (66%→33%)"
"Class 1",2,"Old kink",2766,0.33,0.8,0.391853218278809,0.0149108955560568,2681.93152291291,2991.58248944812,26.2796568325258,0.0135439224610331,"Kink 2 (33%→80%)"
"Class 1",2,"New kink",3742,0.33,0.8,0.4794057367904,0.00403259783563853,3618.07849271632,4342,118.882605290713,0.0452888690453266,"Kink 2 (33%→80%)"
"Class 2",1,"Old kink",1408,0.66,0.33,-0.586702496858108,0.0262554275605813,1208.8177897698,1624.23487532372,-22.3459509659236,0.0163516342295412,"Kink 1 (66%→33%)"
"Class 2",1,"New kink",1896,0.66,0.33,-0.78868144084386,0.0346954723052172,1624.23487532372,2226.58110608927,-22.7315378187045,0.0123525170348413,"Kink 1 (66%→33%)"
"Class 2",2,"Old kink",2766,0.33,0.8,0.53564080804743,0.00953896417175214,2735.94273612868,3366,56.1529321636022,0.0289399121164393,"Kink 2 (33%→80%)"
"Class 2",2,"New kink",3742,0.33,0.8,0.359292203515475,0.00182027120202252,3598.92523987405,4342,197.383886047454,0.075194288895342,"Kink 2 (33%→80%)"
"Class 3",1,"Old kink",1408,0.66,0.33,-1.33884969219673,0.0313738315209986,1293.29479604142,1826.72122042201,-42.6740894334387,0.03122673555305,"Kink 1 (66%→33%)"
"Class 3",1,"New kink",1896,0.66,0.33,-0.614199484570866,0.0268730116185571,1826.72122042201,2361.73566830476,-22.8556253124504,0.0124199472673461,"Kink 1 (66%→33%)"
"Class 3",2,"Old kink",2766,0.33,0.8,1.27249769061743,0.00916251056059739,2713.3181233992,3366,138.880897566405,0.0715759768076579,"Kink 2 (33%→80%)"
"Class 3",2,"New kink",3742,0.33,0.8,0.491923616813154,0.00312896947943737,3635.11330698335,4342,157.215856545078,0.0598920954121715,"Kink 2 (33%→80%)"
